Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Latitude,Longitude
Espagne,ESP,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,10.58,9.95,8.25,9.11,9.24,8.26,10.06,9.16,8.94,7.67,7.88,8.93,7.41,8.91,8.04,7.3,8.48,9.01,9.74,12.21,14.39,14.72,15.75,16.92,17.33,16.3,16.71,15.18,16.9,16.68,19.35,40.463667,-3.74922
Estonie,EST,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,3.54,3.59,5.88,6.64,11.11,17.88,20.08,20.05,17.88,19.97,19.76,18.85,19.34,19.88,20.0,18.9,17.22,18.65,20.45,24.21,25.32,25.16,24.96,24.47,25.29,28.17,27.23,27.52,28.59,31.34,40.0,58.595272,25.013607
Éthiopie,ETH,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,96.3,96.38,97.51,96.92,96.57,96.28,95.99,95.85,95.72,95.81,95.55,94.6,94.53,94.23,94.13,94.73,94.54,94.16,94.09,94.18,94.11,93.55,93.24,92.42,91.16,91.46,90.37,90.2,89.73,89.5,89.52,9.145,40.489673
Finlande,FIN,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,24.51,24.03,25.12,26.0,25.13,27.27,26.87,28.83,30.5,30.24,31.68,29.25,29.52,28.35,31.1,31.52,31.25,31.8,34.61,32.46,33.43,35.14,38.72,38.52,41.25,43.23,42.4,44.48,44.3,45.6,47.49,61.92411,25.748151
Fidji,FJI,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,57.14,55.46,56.23,57.57,61.87,58.38,57.28,51.63,45.39,54.22,50.06,40.44,48.98,40.83,35.72,40.02,39.07,36.04,42.13,41.62,27.95,33.38,33.26,32.81,33.17,32.74,27.68,28.55,25.8,26.48,31.79,-16.578193,179.414413
France,FRA,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,10.54,11.13,11.37,10.97,11.05,10.81,10.59,10.07,9.79,9.86,9.32,9.46,8.73,8.91,8.95,8.66,8.52,9.46,10.6,11.32,11.99,10.65,12.35,13.44,13.19,13.34,14.25,14.12,15.21,15.53,16.87,46.227638,2.213749
Îles Féroé,FRO,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,2.54,2.73,3.11,3.05,3.15,3.21,2.71,3.26,3.14,2.79,2.77,2.56,3.4,3.11,3.42,3.84,4.3,4.54,4.51,5.12,3.38,5.0,4.7,4.53,6.54,7.47,6.32,5.97,5.86,5.4,5.33,61.892635,-6.911806
Micronésie,FSM,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),,0.0,0.0,0.95,0.96,0.9,0.79,0.8,0.77,0.8,0.57,1.27,1.41,1.6,0.86,1.02,1.35,1.37,1.2,1.44,1.15,1.95,1.57,1.42,1.41,1.51,1.71,1.87,1.72,2.0,1.98,,7.425554,150.550812
Micronésie,FSM,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),,0.0,0.0,0.95,0.96,0.9,0.79,0.8,0.77,0.8,0.57,1.27,1.41,1.6,0.86,1.02,1.35,1.37,1.2,1.44,1.15,1.95,1.57,1.42,1.41,1.51,1.71,1.87,1.72,2.0,1.98,,7.425554,150.550812
Gabon,GAB,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,78.28,75.15,74.79,73.81,72.9,71.95,71.49,69.98,69.67,71.35,72.78,72.42,79.82,83.63,85.78,85.25,86.16,87.35,87.32,87.94,85.83,79.7,75.48,82.18,81.29,81.94,80.94,90.1,90.08,89.78,90.12,-0.803689,11.609444
